year,col_area,valley_location,sex,summer_survival,combined_colony,predator_index,n_predator_observations,total_obslength_min,age,ageclass,massjun,ID_Code
2014,gothictown,down_valley,M,NO,gothictown,High,17,8106,4,Adult,,3118
2013,gothictown,down_valley,M,YES,gothictown,High,39,11666,3,Adult,1717.192716,3118
2014,picnic_upper,up_valley,F,YES,picnic,High,16,13924,2,Adult,2210.668226,3224
2014,picnic_middle,up_valley,F,NO,picnic,High,16,13924,2,Adult,2239.662936,3221
2014,picnic_lower,up_valley,M,YES,picnic,High,16,13924,2,Adult,,3196
2019,river_southmound,down_valley,M,YES,rvbench,Low,23,15854,6,Adult,2864.537362,3311
2016,river_sprucemound,down_valley,M,YES,rvbench,Low,10,14535,3,Adult,3082.562643,3311
2018,river_southmound,down_valley,M,YES,rvbench,Low,18,18652,5,Adult,3449.396237,3311
2020,river_sprucemound,down_valley,M,YES,rvbench,Low,5,9475,7,Adult,3598.667581,3311
2014,picnic_lower,up_valley,M,NO,picnic,High,16,13924,2,Adult,,3197
2016,gothictown,down_valley,F,YES,gothictown,High,61,10358,2,Adult,2662.280672,4399
2019,gothictown,down_valley,F,NO,gothictown,High,157,20334,5,Adult,,4399
2017,gothictown,down_valley,F,YES,gothictown,High,41,20806,3,Adult,2557.09052,4399
2016,avalanche,down_valley,M,YES,avalanche,Low,1,3347,2,Adult,2224.282746,4400
2015,northpk,up_valley,M,YES,northpk,Low,4,3795,2,Adult,2171.293625,4395
2018,northpk,up_valley,M,NO,northpk,High,18,7842,2,Adult,,3569
2018,mm_aspen,up_valley,F,YES,mm,High,26,15549,2,Adult,2113.567356,3529
2020,mm_aspen,up_valley,F,NO,mm,Low,1,2778,4,Adult,2754.64902,3529
2019,mm_aspen,up_valley,F,YES,mm,High,21,11856,3,Adult,2162.696161,3529
2018,gothictown,down_valley,F,NO,gothictown,High,39,13692,2,Adult,,3582
2018,northpk,up_valley,F,YES,northpk,High,18,7842,2,Adult,2193.855144,3573
2019,northpk,up_valley,F,YES,northpk,High,19,6809,3,Adult,1899.310771,3573
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,4,Adult,2474.37008,3573
2016,northpk,up_valley,M,NO,northpk,Low,3,5253,2,Adult,1941.984076,4402
2016,bench,down_valley,M,YES,rvbench,Low,10,14535,2,Adult,2007.674912,4401
2017,river_rivermound,down_valley,M,YES,rvbench,Low,5,24156,3,Adult,2682.707718,4401
2018,northpk,up_valley,M,NO,northpk,High,18,7842,2,Adult,2261.610358,4410
2017,gothictown,down_valley,M,YES,gothictown,High,41,20806,3,Adult,2860.359685,4403
2018,bench,down_valley,M,NO,rvbench,Low,18,18652,4,Adult,3108.896762,4403
2016,bench,down_valley,M,YES,rvbench,Low,10,14535,2,Adult,2193.918013,4403
2019,boulder,up_valley,F,YES,boulder,High,9,1849,3,Adult,1881.998605,3567
2018,northpk,up_valley,F,YES,northpk,High,18,7842,2,Adult,2038.480262,3567
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,4,Adult,2394.304696,3567
2019,picnic_lower,up_valley,F,NO,picnic,High,48,12940,3,Adult,2145.192249,3523
2018,picnic_lower,up_valley,F,YES,picnic,High,65,15311,2,Adult,1977.672886,3523
2020,picnic_upper,up_valley,F,NO,picnic,High,6,3555,3,Adult,,3624
2019,picnic_middle,up_valley,F,YES,picnic,High,48,12940,2,Adult,1782.365598,3624
2019,avalanche,down_valley,F,YES,avalanche,Low,2,4297,2,Adult,1893.505622,3641
2020,avalanche,down_valley,F,YES,avalanche,Low,2,1634,3,Adult,2465.685344,3641
2018,gothictown,down_valley,F,NO,gothictown,High,39,13692,2,Adult,2429.424437,4409
2019,bench,down_valley,M,NO,rvbench,Low,23,15854,2,Adult,,3608
2020,gothictown,down_valley,M,NO,gothictown,Low,2,8799,2,Adult,2968.862549,3691
2020,bench,down_valley,F,YES,rvbench,Low,5,9475,3,Adult,2936.544973,3605
2019,river_rivermound,down_valley,F,YES,rvbench,Low,23,15854,2,Adult,2059.104057,3605
2020,bench,down_valley,F,YES,rvbench,Low,5,9475,3,Adult,2728.195767,3653
2019,bench,down_valley,F,YES,rvbench,Low,23,15854,2,Adult,2058.520443,3653
2020,gothictown,down_valley,F,YES,gothictown,Low,2,8799,2,Adult,2684.543123,3721
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,2,Adult,2274.683126,3705
2020,gothictown,down_valley,F,YES,gothictown,Low,2,8799,2,Adult,3243.093767,3709
2017,avalanche,down_valley,M,NO,avalanche,Low,2,8241,2,Adult,2403.53731,4406
2020,mm_aspen,up_valley,F,YES,mm,Low,1,2778,3,Adult,2917.868996,3588
2019,mm_aspen,up_valley,F,YES,mm,High,21,11856,2,Adult,1769.292304,3588
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,2,Adult,2303.400805,3706
2020,mm_aspen,up_valley,F,YES,mm,Low,1,2778,3,Adult,2846.800927,3587
2019,mm_maintalus,up_valley,F,YES,mm,High,21,11856,2,Adult,1942.456227,3587
2019,bench,down_valley,F,YES,rvbench,Low,23,15854,2,Adult,2152.006425,3655
2019,mm_maintalus,up_valley,F,YES,mm,High,21,11856,2,Adult,1954.577788,3589
2020,horsemound,down_valley,F,YES,,Low,,,2,Adult,2158.840453,3693
2018,avalanche,down_valley,F,YES,avalanche,Low,3,7268,2,Adult,2018.167226,4411
2019,horsemound,down_valley,F,NO,,Low,,,3,Adult,2137.210278,4411
2020,gothictown,down_valley,F,NO,gothictown,Low,2,8799,2,Adult,,3756
2019,picnic_lower,up_valley,F,NO,picnic,High,48,12940,2,Adult,1730.984884,4415
2020,horsemound,down_valley,M,YES,,Low,,,2,Adult,3600.622357,3761
2020,river_rivermound,down_valley,F,NO,rvbench,Low,5,9475,2,Adult,2637.424895,3696
2020,gothictown,down_valley,F,YES,gothictown,Low,2,8799,2,Adult,3027.66557,3712
2020,mm_aspen,up_valley,M,YES,mm,Low,1,2778,2,Adult,2982.001954,3684
2019,rvannex,down_valley,M,NO,rvbench,Low,23,15854,2,Adult,2384.0419,4414
2020,avalanche,down_valley,M,YES,avalanche,Low,2,1634,4,Adult,3383.955497,4412
2019,avalanche,down_valley,M,YES,avalanche,Low,2,4297,3,Adult,2506.608354,4412
2018,avalanche,down_valley,M,YES,avalanche,Low,3,7268,2,Adult,2748.958446,4412
2018,bench,down_valley,M,YES,rvbench,Low,18,18652,2,Adult,2411.355564,4413
2019,bench,down_valley,M,NO,rvbench,Low,23,15854,3,Adult,2276.364553,4413
2020,boulder,up_valley,M,YES,,Low,,,2,Adult,1775.595658,4421
2020,gothictown,down_valley,M,NO,gothictown,Low,2,8799,2,Adult,1666.486523,4418
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,2,Adult,2400.62651,4416
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,2,Adult,2285.089499,4417
2020,picnic_lower,up_valley,F,YES,picnic,High,6,3555,2,Adult,2052.440725,3667
2020,picnic_lower,up_valley,F,YES,picnic,High,6,3555,2,Adult,2330.717841,3664
2020,picnic_lower,up_valley,M,YES,picnic,High,6,3555,2,Adult,2500.414406,3665
2020,rvannex,down_valley,F,YES,rvbench,Low,5,9475,2,Adult,2087.799294,3731
2020,picnic_lower,up_valley,F,YES,picnic,High,6,3555,2,Adult,1844.63444,3674
2020,northpk,up_valley,F,YES,northpk,Low,2,2941,2,Adult,1635.432644,4420
2020,gothictown,down_valley,M,YES,gothictown,Low,2,8799,2,Adult,1892.851956,4419
2003,picnic_middle,up_valley,F,NO,picnic,High,21,6769,14,Adult,2445.486156,1324
2007,picnic_upper,up_valley,F,YES,picnic,High,22,7669,5,Adult,2458.68504,2043
2004,picnic,up_valley,F,YES,picnic,High,23,7579,2,Adult,1975.579702,2043
2006,picnic_upper,up_valley,F,YES,picnic,High,28,11295,4,Adult,2413.825863,2043
2008,picnic_middle,up_valley,F,NO,picnic,High,35,7309,6,Adult,2268.163877,2043
2005,picnic,up_valley,F,YES,picnic,High,38,8519,3,Adult,2102.059289,2043
